iter	RMSE
0	5207.958837
1	5072.612162
2	4979.627915
3	4883.209719
4	4769.597263
5	4661.749872
6	4548.921348
7	4437.915524
8	4337.529702
9	4250.753336
10	4135.355262
11	4053.538798
12	3966.097676
13	3881.725628
14	3802.549138
15	3719.01731
16	3630.084863
17	3551.629318
18	3470.276821
19	3401.148389
20	3339.396051
21	3270.363544
22	3211.584333
23	3134.427744
24	3060.100519
25	3000.021203
26	2964.933529
27	2915.828052
28	2851.8225
29	2796.538446
30	2736.487135
31	2685.908042
32	2628.71677
33	2568.32814
34	2510.935876
35	2458.701174
36	2418.674431
37	2371.538278
38	2329.049206
39	2278.70757
40	2235.177625
41	2185.216694
42	2139.597687
43	2099.306814
44	2046.45462
45	2008.681384
46	1972.698426
47	1925.382845
48	1882.764126
49	1843.220069
50	1802.636846
51	1770.911073
52	1735.077159
53	1707.106738
54	1668.947971
55	1624.852601
56	1584.970024
57	1551.995654
58	1514.471958
59	1483.07441
60	1448.564348
61	1419.10863
62	1384.548202
63	1352.049718
64	1321.890403
65	1294.03328
66	1270.006288
67	1241.015618
68	1217.119481
69	1188.959901
70	1168.931257
71	1145.228706
72	1121.163813
73	1092.306455
74	1068.337658
75	1040.989086
76	1010.171165
77	983.4712103
78	956.5554878
79	928.3207103
80	906.4298191
81	878.9560966
82	859.0780674
83	838.5203081
84	814.5789315
85	793.6010982
86	776.5854993
87	757.9196665
88	738.9243627
89	720.161116
90	701.3720229
91	685.7636077
92	667.8618771
93	652.4713444
94	633.1748915
95	617.7206302
96	604.1234952
97	589.7227413
98	577.5068741
99	567.4874041
