iter	Passed	Remaining
0	19	1919
1	37	1831
2	55	1797
3	73	1755
4	90	1715
5	108	1703
6	126	1677
7	143	1653
8	160	1622
9	177	1600
10	195	1578
11	212	1558
12	230	1540
13	248	1524
14	266	1508
15	284	1492
16	302	1477
17	322	1467
18	341	1455
19	359	1437
20	376	1417
21	393	1396
22	410	1374
23	427	1354
24	444	1333
25	463	1318
26	482	1303
27	501	1288
28	520	1274
29	540	1260
30	559	1246
31	578	1228
32	597	1212
33	616	1195
34	636	1181
35	657	1168
36	677	1153
37	696	1136
38	716	1120
39	736	1104
40	757	1089
41	779	1076
42	802	1064
43	822	1046
44	840	1026
45	857	1006
46	874	986
47	892	966
48	909	946
49	927	927
50	945	908
51	962	888
52	979	868
53	996	848
54	1013	829
55	1030	809
56	1047	790
57	1064	770
58	1081	751
59	1098	732
60	1115	713
61	1132	693
62	1149	675
63	1166	656
64	1183	637
65	1199	618
66	1216	599
67	1233	580
68	1250	561
69	1267	543
70	1284	524
71	1301	505
72	1317	487
73	1335	469
74	1352	450
75	1370	432
76	1388	414
77	1414	398
78	1437	382
79	1459	364
80	1478	346
81	1495	328
82	1512	309
83	1529	291
84	1546	272
85	1563	254
86	1580	236
87	1596	217
88	1613	199
89	1630	181
90	1647	162
91	1665	144
92	1682	126
93	1699	108
94	1716	90
95	1732	72
96	1750	54
97	1767	36
98	1784	18
99	1801	0
