Станция,Номер линии,Линия,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
Бульвар Рокоссовского,8,СОКОЛЬНИЧЕСКАЯ,11209,2561,13714,15740,5816,3812,4669,7280,18189,10499,14355,16665,17944,7645,19898,10798,1510,3061,10265,18924,7410,14185,2600,14351,1223,19395,3369,12204,4205,7277,17464,18317,3697,10858,4153,9734,9018,16187,14410,18087,4186,1248,18355,13991,12338,11240,18150,1888,13882,18346,8652,6214,10012,19224,5146,11670,2812,2239,17447,5575,6368,18694,5938,11985,5490,1088,2673,7450,17639,8065,3261,8482,19679,17125,5619,4943,18651,1041,6895,2135,1229,9609,7792,14831,12097,17624,1217,12742,13998,2905,15113,16023.50835162777
Черкизовская,8,СОКОЛЬНИЧЕСКАЯ,7029,15991,6496,6924,11353,3663,5061,13486,17700,3849,9090,17947,15416,7645,12877,6468,1828,12029,5797,1667,11854,13333,2485,10935,11171,16820,17624,18868,14577,11779,2947,12251,12435,14153,14294,18639,17086,12248,16338,9768,12995,16393,15487,12324,3176,15248,17010,7515,8765,3865,3025,17570,5340,12789,4556,5213,14542,15752,2181,8816,18700,4520,16592,17510,8008,12030,6452,15338,16764,14293,4148,4426,1294,17656,3129,7277,6929,2588,18593,14576,2339,15379,17814,12372,13030,6623,9721,10015,14864,7991,5441,6657.5459484963285
Преображенская площадь,8,СОКОЛЬНИЧЕСКАЯ,5004,2811,8365,13309,15090,13281,9745,8176,4361,19574,9135,12682,10740,18122,5698,18196,12490,10657,8169,14017,10134,7735,7813,1530,8801,15152,14727,17579,15896,10516,17054,16221,11412,3417,12981,16351,6843,6404,19921,9890,15279,9522,6083,1634,19907,4526,16736,10830,4682,6349,3033,2127,11525,17036,1276,6590,8303,11912,19336,8814,10587,9775,8939,7241,12822,9040,14517,13476,9286,17924,7788,2167,7095,6267,14169,5643,7694,12367,3391,12584,14975,19378,2349,11940,13961,6852,10961,4001,7265,6556,1132,13721.47489497064
Сокольники,8,СОКОЛЬНИЧЕСКАЯ,15017,5573,18759,15545,15972,12049,14001,3637,7890,7326,8669,12214,7969,19236,11864,18937,15438,16002,2690,6518,10741,15963,3279,9381,16742,7327,7977,2009,9385,4598,2104,17897,9050,1465,11321,19227,17534,1662,19425,6400,1272,18973,11326,19224,12939,10608,3537,16012,6686,11184,10014,17931,19848,5646,6320,9933,12909,2236,10224,13928,18196,19996,13541,7822,11014,8019,7845,4898,11842,7779,18654,16816,13672,13495,9769,8076,1348,8283,16050,19168,13304,17958,19196,3010,6793,15041,12051,9446,6409,6488,10083,17389.92184043566
Красносельская,8,СОКОЛЬНИЧЕСКАЯ,11373,8936,7746,4581,16152,9321,7615,14194,8012,17303,3529,7490,7338,8814,7065,11939,17022,8202,1210,2836,14760,18008,13782,8937,16727,4241,12718,7617,3054,5864,11679,9204,8573,12619,17688,8231,8934,10085,17830,10763,5767,4116,7914,15674,14583,9723,4949,5429,19596,2791,17564,14056,11900,15293,5850,10486,19361,17385,18587,13247,13190,1267,15689,14564,11659,12569,3814,6980,2167,13435,1803,8803,13716,10294,3711,18938,18312,11462,4628,9113,5599,10764,9980,9929,2055,18134,14682,5965,10725,15424,19339,7990.094278729411
Комсомольская,8,СОКОЛЬНИЧЕСКАЯ,5649,15712,5709,1247,2451,6091,19738,16301,19891,17431,19614,13634,18924,13782,19933,18327,3651,1402,15142,17753,6363,18302,5841,1399,15351,9457,1033,7758,12859,8706,5016,15482,7252,13797,18193,15835,1330,6454,10414,14263,17792,1477,2993,3722,16909,11070,16260,7500,14083,12370,7878,9693,10759,16814,17462,9296,9170,17323,9983,10595,18224,13928,13682,8470,18628,16308,4351,5689,2730,15357,10091,10722,7140,7749,14382,3473,19826,9972,8934,19581,12214,17389,15436,13639,6108,11464,10377,7285,2531,15055,15442,9049.665181843353
Красные ворота,8,СОКОЛЬНИЧЕСКАЯ,10104,2772,1873,6721,10998,7246,12222,10657,8755,2774,4036,19318,9638,14202,11330,4814,3992,16541,17698,15203,3762,3807,11836,11297,1914,14687,15643,8779,18292,8254,19212,8761,4729,8425,7700,15477,19243,4891,18548,11472,19047,3891,8802,12732,5217,11863,16713,2170,17357,12757,18185,18842,1259,9976,4953,6787,11227,3895,6283,7804,7656,16778,6354,6190,11874,14523,11465,3212,17381,9191,16129,9181,8683,9227,6936,7134,17699,4985,14243,17242,5753,6399,4268,18420,15034,4826,9492,9990,19411,18002,7139,3762.7223314311677
Чистые пруды,8,СОКОЛЬНИЧЕСКАЯ,4453,11590,15867,11004,12793,7474,3808,16896,10360,14081,10050,15884,17039,2652,9531,2832,8653,17649,3259,11659,8883,1192,8798,9395,19092,18827,18458,13841,5158,10418,15419,13184,5680,18505,5326,4965,6368,11229,6017,8116,13278,1025,1009,18189,4096,2481,7634,2528,19996,17695,4412,2995,10777,4527,13043,19401,14176,18181,4456,8511,18482,18332,5094,14484,4986,4117,2085,13201,3503,6608,15375,6595,8373,13787,17842,6888,6154,11443,4316,4542,10147,15380,6878,4861,7068,15453,5126,7456,18152,2430,11038,12759.506242965621
Лубянка,8,СОКОЛЬНИЧЕСКАЯ,5127,10987,4428,13864,6780,17070,19427,15660,7534,19308,16229,19632,18292,1024,19992,9606,6247,14791,12137,4395,11417,19545,19155,5054,1903,8073,5136,11639,11306,10769,2220,14469,18423,11774,17980,10545,12348,7968,1580,14544,19232,10716,7478,11957,19355,6117,7219,16480,8360,14267,18651,2050,3450,2304,5564,4213,11931,6373,16906,3147,10191,5592,17872,10709,5424,8117,9391,12727,1592,5990,17958,14314,13945,7013,18750,13466,17358,17879,8072,6130,2176,12960,11683,10530,15031,19348,5120,9020,10221,6545,15482,8639.136392937198
Охотный ряд,8,СОКОЛЬНИЧЕСКАЯ,15905,13708,13439,9921,14844,8489,13334,10155,9662,14902,15437,15887,19475,10244,8799,17568,4781,12061,15329,13430,15222,12041,2150,6014,11058,13527,2165,11097,12516,9330,5525,11528,9548,17754,10105,1627,7822,17978,4108,9829,17105,17545,6882,18961,10692,12622,7943,14021,11623,8313,1228,12097,13346,8156,12440,12929,7456,2190,8635,12708,9404,2915,17356,16064,17887,1175,6962,17674,4010,8786,11081,3982,13986,8172,6714,8746,6298,18080,9688,15621,5166,7547,12161,14206,1298,15973,12450,17311,12608,19685,7671,18804.62040034713
Кропоткинская,8,СОКОЛЬНИЧЕСКАЯ,4220,18383,7559,2985,11634,11767,17672,1198,10841,5297,14744,4539,16524,1197,16394,11609,19036,6466,14801,16925,14895,19222,16908,16109,9348,17678,8787,9378,19353,10483,13446,1083,1415,8286,16855,18649,19924,9526,13223,1432,15365,18828,12137,9448,19886,7850,12660,4679,5441,18917,4418,12506,16507,4271,17321,1571,16088,5402,10179,10088,8717,15040,17562,16408,12144,16997,12588,19713,1535,17489,10497,9005,15108,16936,10404,2765,14498,9642,6995,10795,9193,13375,19725,11039,15715,8657,7245,12302,19754,6340,5076,12942.285104423281
